date,swt,v,lh,sh,strat,t,rh,sp,cc,pev,ws,st7,st28,st100,st255,sm7,sm28,sm100,sm255,tp,q_gwlf,doc_gwlf
2007-01-01,8.739975,95388202.270955,-40.218611,-5.945342,0.495545,7.95333327916667,80.0172609166667,978.00972875,59.7083333333333,0.0385741535791667,6.1007243,6.42416657083333,5.49916657916667,6.45958329583333,11.9949998125,0.298083333333333,0.308875,0.311,0.307,0,18.0677,2.21239
2007-01-02,8.701348,95388202.270955,-7.560738,-1.661157,0.495545,7.54916659583333,85.9318626666667,979.757979583333,82.2916666666667,0.0233530204166667,4.91356815,6.5929166,5.82833327083333,6.6699999875,11.8658333333333,0.315125,0.30825,0.310416666666667,0.307,3.2,26.1506,2.26728
2007-01-03,8.611221,95388202.270955,-43.157446,-10.879421,0.285609,6.11166660833333,82.36750975,979.5432975,37.8333333333333,0.0406160200125,3.86944340416667,5.54916665833333,5.56791654166667,6.81583313333333,11.7449997916667,0.31925,0.309291666666667,0.309416666666667,0.307,0,26.1159,2.26905
2007-01-04,8.576607,96058802.270955,-21.024996,-3.77071,0.287543,6.7283333375,76.7986220833333,972.4167975,51.25,0.0415954200541667,5.2784779375,4.9637499625,5.41166664166667,6.86166659166667,11.6283333333333,0.312375,0.309,0.309,0.307,0,25.8463,2.26704
2007-01-05,8.533887,96256702.270955,-13.9767,-2.615718,0.288114,7.15958327083333,77.646795,973.32084875,22.625,0.04155125725,3.61140042083333,5.21999995416667,5.13041657916667,6.88458333333333,11.5179164375,0.306833333333333,0.308,0.308416666666667,0.307,0,25.5796,2.26508
2007-01-06,8.489257,96415202.270955,-24.298088,-5.565742,0.320717,6.8366665875,86.3423529583333,974.46237625,47.875,0.04079068675,4.31027429583333,5.67208325833333,5.876249875,6.92208333333333,11.4095833333333,0.302666666666667,0.306583333333333,0.308,0.307,0,25.3156,2.26317
2007-01-07,8.428612,96534202.270955,-37.041208,-7.833678,0.298879,6.78041652083333,79.8558360833333,971.620245,44.875,0.0471175404208333,4.80566562083333,5.46791665416667,5.751249925,6.98875,11.3054164583333,0.299041666666667,0.305416666666667,0.307416666666667,0.307,0,25.0543,2.26132
2007-01-08,8.352387,96732902.270955,-49.85514,-10.341914,0.328118,7.01791658333333,83.3529536666667,968.200725416667,68.3333333333333,0.0340042398333333,6.66715092916667,5.8637499375,5.81166664166667,7.03666656666667,11.1991666458333,0.295625,0.303416666666667,0.306416666666667,0.307,0,24.7957,2.25951
2007-01-09,8.308082,96931902.270955,-32.864597,-2.250302,0.371794,8.71583330833333,79.5305790833333,970.186075,19.1666666666667,0.0512439283333333,6.0703074,6.90333329166667,6.36583325833333,7.11583323333333,11.10125,0.292916666666667,0.301541666666667,0.306,0.307,0,24.5397,2.25776
2007-01-10,8.27971,97091402.270955,-33.24272,-0.800705,0.351748,8.62416656666667,82.144693875,972.184576666667,61,0.0458618602083333,7.60165260833333,6.9449998625,6.86583325833333,7.28458327083333,11.0095830625,0.289625,0.299583333333333,0.306,0.307,0,24.2864,2.25605
2007-01-11,8.257446,97251202.270955,-25.683878,-2.978514,0.352174,8.13666659166667,80.0782691666667,977.97655,40.375,0.0521777702333333,5.42782045833333,6.99083317916667,6.73041664166667,7.39916666666667,10.9241666666667,0.286125,0.297958333333333,0.304833333333333,0.307,0,24.0358,2.2544
2007-01-12,8.248767,97451202.270955,-12.74364,-0.753618,0.352708,8.62416662083333,77.6156445416667,977.858689166667,11.25,0.0512247246833333,4.5472869625,6.7762499125,6.44708327083333,7.46375,10.8429166666667,0.281958333333333,0.295416666666667,0.302958333333333,0.306583333333333,0,23.7877,2.25279
2007-01-13,8.2362,97571502.270955,-12.792201,-0.424526,0.353029,8.51166674583333,80.2945194583333,973.817365,0.291666666666667,0.0531198260833333,4.90250729583333,6.42416665416667,6.71791664583333,7.51583328333333,10.7637496875,0.2795,0.293583333333333,0.302583333333333,0.306,0,23.5421,2.25123
2007-01-14,8.256023,97732102.270955,-10.996942,0.268888,0.353029,9.0470832875,82.5390066666667,975.975053333333,68.375,0.0479464461666667,5.1778429125,6.8845832375,6.72208329583333,7.57416641666667,10.68875,0.278541666666667,0.29225,0.3025,0.306,0,23.2992,2.24972
2007-01-15,8.252477,97933302.270955,-13.699236,-2.423604,0.353029,8.0929166,88.930089625,974.018453333333,99.25,0.0344378639583333,4.75081760833333,7.14916662916667,6.97416657916667,7.63458333333333,10.6116666666667,0.27875,0.290916666666667,0.303,0.306,0,23.0587,2.24826
2007-01-16,8.190747,98094702.270955,-35.368442,-4.869288,0.274475,8.33666656666667,84.195885375,971.272110416667,54.9166666666667,0.041302408875,5.97480670833333,7.76374994166667,7.51999993333333,7.7512499375,10.54499975,0.277333333333333,0.289541666666667,0.302416666666667,0.306,0,22.8207,2.24685
2007-01-17,8.141294,98215902.270955,-32.421864,-6.100565,0.253859,7.13249990416667,81.636215125,973.259744166667,13.2083333333333,0.0515338877708333,5.349945925,6.359583275,6.8449999125,7.81166641666667,10.482499875,0.274958333333333,0.288041666666667,0.302,0.306,0,22.5851,2.24548
2007-01-18,8.11103,98377902.270955,-41.917607,-4.916162,0.2714,7.61374997916667,82.607626,973.781635416667,76.3333333333333,0.04754447275,6.95813894166667,6.4845832625,6.40958328333333,7.75958325833333,10.4179166666667,0.27275,0.286625,0.302,0.306,0,22.352,2.24416
2007-01-19,8.168166,98540202.270955,-3.83714,2.583934,0.255073,11.6012502166667,71.614795375,975.578341666667,14.7083333333333,0.0609502934833333,5.06465710416667,9.3720832875,7.72624994583333,7.79916662916667,10.3554166666667,0.268333333333333,0.2845,0.300833333333333,0.306,0,22.1213,2.24288
